Price,Address,Disposition,m2,Link,Image URL
5 000 000 Kč,"Koliště, Brno - Zábrdovice",2+1,52,https://www.sreality.cz/detail/prodej/byt/2+1/brno-zabrdovice-koliste/4143858252,"https://d18-a.sdn.cz/d_18/c_img_oZ_B/nsLxLojIBfZuBGZSDLx9la/0c9a.png?fl=res,100,100,1|jpg,80"
5 490 000 Kč,"Stavební, Brno - Trnitá",2+kk,41,https://www.sreality.cz/detail/prodej/byt/2+kk/brno-trnita-stavebni/310547276,"https://d18-a.sdn.cz/d_18/c_img_ob_D/kBj94XhVwCljGHCE1DzuLq5/7d95.jpeg?fl=res,100,100,1|jpg,80"
5 500 000 Kč,"Nejedlého, Brno - Lesná",2+1,54,https://www.sreality.cz/detail/prodej/byt/2+1/brno-lesna-nejedleho/314188364,"https://d18-a.sdn.cz/d_18/c_img_oa_C/kOeDqKABdsbETCf0Dc8u4F/6ea7.png?fl=res,100,100,1|jpg,80"
5 499 000 Kč,"třída Generála Píky, Brno",2+kk,45,https://www.sreality.cz/detail/prodej/byt/2+kk/brno-brno-trida-generala-piky/2151457612,"https://d18-a.sdn.cz/d_18/c_img_oa_D/nO7kYQIzllBVGtZU0Dg4QFX/0da7.png?fl=res,100,100,1|jpg,80"
5 490 000 Kč,"U Viaduktu, Brno - Chrlice",2+kk,48,https://www.sreality.cz/detail/prodej/byt/2+kk/brno-chrlice-u-viaduktu/2833691468,"https://d18-a.sdn.cz/d_18/c_img_ob_D/kBj94XhVwB3TlO4QD16nOC/835a.jpeg?fl=res,100,100,1|jpg,80"
5 400 000 Kč,"Cejl, Brno - Zábrdovice",2+kk,42,https://www.sreality.cz/detail/prodej/byt/2+kk/brno-zabrdovice-cejl/2362860108,"https://d18-a.sdn.cz/d_18/c_img_oa_E/nO7kYQIzllzLYfDcsDldkPs/0cab.jpeg?fl=res,100,100,1|jpg,80"
5 490 000 Kč,"Šámalova, Brno - Židenice",2+kk,40,https://www.sreality.cz/detail/prodej/byt/2+kk/brno-zidenice-samalova/3304743500,"https://d18-a.sdn.cz/d_18/c_img_ob_D/kBj94XhVwxTWx5OD16zY5/6b41.jpeg?fl=res,100,100,1|jpg,80"
5 340 000 Kč,"Koliště, Brno - Trnitá",2+kk,41,https://www.sreality.cz/detail/prodej/byt/2+kk/brno-trnita-koliste/3918574412,"https://d18-a.sdn.cz/d_18/c_img_ob_E/nPTQKDwGerBTFDoB14D3r9KK/d2c2.jpeg?fl=res,100,100,1|jpg,80"
4 990 000 Kč,"Mikuláškovo náměstí, Brno - Starý Lískovec",2+kk,44,https://www.sreality.cz/detail/prodej/byt/2+kk/brno-stary-liskovec-mikulaskovo-namesti/852460364,"https://d18-a.sdn.cz/d_18/c_img_ob_D/kBj94XhVwO1LYBIJD2srJq/dfa1.jpeg?fl=res,100,100,1|jpg,80"
5 150 000 Kč,Brno - Líšeň,2+kk,40,https://www.sreality.cz/detail/prodej/byt/2+kk/brno-lisen-/2925167436,"https://d18-a.sdn.cz/d_18/c_img_ob_D/kBj94XhVwCGuyem9D0x7mG/2763.jpeg?fl=res,100,100,1|jpg,80"
5 450 000 Kč,"Šromova, Brno - Chrlice",2+1,56,https://www.sreality.cz/detail/prodej/byt/2+1/brno-chrlice-sromova/483697484,"https://d18-a.sdn.cz/d_18/c_img_oa_E/kPxAuWMbDHC2NaaCWJDnU0Jg/088f.png?fl=res,100,100,1|jpg,80"
5 302 500 Kč,"Soudní, Brno - Zábrdovice",2+kk,60,https://www.sreality.cz/detail/prodej/byt/2+kk/brno-zabrdovice-soudni/2158732108,"https://d18-a.sdn.cz/d_18/c_img_oa_C/nQOSLp28xnEBYaHZYDdj6eI/d089.jpeg?fl=res,800,600,3|shr,,20|webp,60"
4 950 000 Kč,"Valtická, Brno - Židenice",2+kk,44,https://www.sreality.cz/detail/prodej/byt/2+kk/brno-zidenice-valticka/1674355532,"https://d18-a.sdn.cz/d_18/c_img_ob_A/kPxAuWMbDHCgJCaVhDoAFjC/0eda.jpeg?fl=res,800,600,3|shr,,20|webp,60"
5 480 000 Kč,"Koliště, Brno - Trnitá",2+kk,45,https://www.sreality.cz/detail/prodej/byt/2+kk/brno-trnita-koliste/3872793164,"https://d18-a.sdn.cz/d_18/c_img_oa_A/nsLxLojIIE33POQDYtni3/1850.jpeg?fl=res,800,600,3|shr,,20|webp,60"
1 529 000 Kč,"Olomoucká, Brno - Černovice",2+kk,76,https://www.sreality.cz/detail/prodej/byt/2+kk/brno-cernovice-olomoucka/2797630028,"https://d18-a.sdn.cz/d_18/c_img_oa_B/kBkJRwehYBc0GnBjaDabVgs/d7a2.jpeg?fl=res,800,600,3|shr,,20|webp,60"
